Date,Answer
26/05/2022,ASSET
28/05/2022,CREPT
30/05/2022,ATOLL
01/06/2022,CREAK
03/06/2022,PHASE
05/06/2022,DEPTH
07/06/2022,FLOOD
09/06/2022,GIRTH
11/06/2022,GOOSE
13/06/2022,DONOR
15/06/2022,PRIMO
17/06/2022,BLOWN
19/06/2022,LOSER
21/06/2022,GLOAT
23/06/2022,BRINK
25/06/2022,BEADY
27/06/2022,RETRO
29/06/2022,GAWKY
01/07/2022,PINTO
03/07/2022,EGRET
05/07/2022,FIELD
07/07/2022,AGAPE
